District,Year,Season,Crop,Temperature_Avg,Temperature_Min,Temperature_Max,Rainfall,Humidity,N,P,K,pH,Organic_Carbon,NDVI_Peak,Yield,Disease_Occurred
Amreli,2010,Kharif,Groundnut,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,1.73,0
Amreli,2010,Kharif,Jowar,26.97912329,8.09,46.2,952.5652274,59.55583562,68.23713636,50.16295455,29.71568182,6.323691342,0.699181243,0.665865475,1.08,0
Amreli,2010,Kharif,Maize,26.97912329,8.09,46.2,952.5652274,59.55583562,68.23713636,50.16295455,29.71568182,6.323691342,0.699181243,0.665865475,1.63,0
Amreli,2010,Kharif,Moong(Green Gram),26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,0.45,0
Amreli,2010,Kharif,Other Kharif pulses,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,0.5,0
Amreli,2010,Kharif,Sesamum,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,0.44,0
Amreli,2010,Kharif,Tobacco,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,1.67,0
Amreli,2010,Kharif,Urad,26.97912329,8.09,46.2,952.5652274,59.55583562,43.70613636,62.53245455,29.35818182,6.901386582,0.608821185,0.665865475,0.61,0
Amreli,2010,Kharif,other oilseeds,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,0.36,0
Amreli,2010,Rabi,Gram,26.97912329,8.09,46.2,952.5652274,59.55583562,43.70613636,62.53245455,29.35818182,6.901386582,0.608821185,0.665865475,1.46,0
Amreli,2010,Rabi,Maize,26.97912329,8.09,46.2,952.5652274,59.55583562,68.23713636,50.16295455,29.71568182,6.323691342,0.699181243,0.665865475,1.88,0
Amreli,2010,Rabi,Other Cereals,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,1.25,0
Amreli,2010,Rabi,Rapeseed &Mustard,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,1.5,0
Amreli,2010,Rabi,Wheat,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,3.79,0
Amreli,2010,Summer,Bajra,26.97912329,8.09,46.2,952.5652274,59.55583562,31.62913636,49.88345455,30.00168182,6.704581177,0.570487793,0.665865475,2.38,0
Amreli,2010,Summer,Groundnut,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,1.78,0
Amreli,2010,Summer,Moong(Green Gram),26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,0.52,0
Amreli,2010,Summer,Sesamum,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,0.5,0
Amreli,2010,Whole Year,Dry chillies,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,1,0
Amreli,2010,Whole Year,Garlic,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,5.73,0
